Product ID,Product Category,Product Category,Product Subcategory,Product Name,Product Name,Product Description, Product Price ,Product Weight,Product Size,Product Size,Order ID,Customer ID,Order Date,Order Status,Order Quantity, Order Total ,Payment Method
1001,Mountain BIKES,Mountain Bikes,Cross Country, TrailBlazer 1000 ,TrailBlazer 1000,Lightweight and versatile," $1,200.00 ",25.00,m,M,2001,3001,3/1/2023,Shipped,2," $2,400.00 ",Credit Card
1002,Mountain Bikes,Mountain Bikes,Cross Country,TrailBlazer 2000,TrailBlazer 2000,High-performance mountain bike," $1,500.00 ",22.00,l,L,2002,3002,3/2/2023,Processing,1," $1,500.00 ",PayPal
1003,Road Bikes,Road Bikes,Racing,SpeedMaster 1000 ,SpeedMaster 1000,Agile and aerodynamic road bike," $1,800.00 ",18.00,S,S,2003,3003,3/3/2023,Cancelled,3," $5,400.00 ",Credit Card
1004,Road BIKES,Road Bikes,Racing,SpeedMaster 2000,SpeedMaster 2000,Premium racing road bike," $2,100.00 ",16.00,L,L,2004,3004,3/4/2023,Shipped,1," $2,100.00 ",Credit Card
1005,Touring Bikes,Touring Bikes,Long Distance,Explorer 1000 ,Explorer 1000,Comfortable and durable touring bike," $1,300.00 ",27.00,M,M,2005,3005,3/5/2023,Processing,2," $2,600.00 ",PayPal
1006,Touring Bikes,Touring Bikes,Long Distance,Explorer 2000,Explorer 2000,Advanced touring bike," $1,600.00 ",24.00,L,L,2006,3006,3/6/2023,Shipped,1," $1,600.00 ",Credit Card
1007,Mountain Bikes,Mountain Bikes,Downhill,GravityMaster 1000,GravityMaster 1000,Rugged and durable downhill bike," $2,200.00 ",29.00,m,M,2007,3007,3/7/2023,Shipped,2," $4,400.00 ",PayPal
1008,Mountain Bikes,Mountain Bikes,Downhill,       GravityMaster 2000 ,GravityMaster 2000,," $2,500.00 ",27.00,L,L,2008,3008,3/8/2023,Processing,1," $2,500.00 ",Credit Card
1021,Mountain Bikes,Mountain Bikes,Trail,Pathfinder 1000,Pathfinder 1000,Agile trail bike for all skill levels," $1,100.00 ",24.00,M,M,2021,3021,3/21/2023,Shipped,2," $2,200.00 ",Credit Card
1022,mountain BIKES,Mountain Bikes,Trail,Pathfinder 2000,Pathfinder 2000,High-performance trail bike," $1,400.00 ",21.00,l,L,2022,3022,3/22/2023,Processing,1," $1,400.00 ",PayPal
1023,Road Bikes,Road Bikes,Touring,    Voyager 1000    ,Voyager 1000,Comfortable touring road bike," $1,700.00 ",20.00,M,M,2023,3023,3/23/2023,Cancelled,3," $5,100.00 ",Credit Card
1024,road Bikes,Road Bikes,Touring,Voyager 2000,Voyager 2000,Advanced touring road bike," $2,000.00 ",18.00,L,L,2024,3024,3/24/2023,Shipped,1," $2,000.00 ",Credit Card
1025,Touring Bikes,Touring Bikes,,Adventurer 1000,Adventurer 1000,Durable bike for long adventures," $1,500.00 ",28.00,m,M,2025,3025,3/25/2023,Processing,2," $3,000.00 ",PayPal
1026,Touring Bikes,Touring Bikes,Adventure,Adventurer 2000,Adventurer 2000,Premium adventure touring bike," $1,800.00 ",26.00,L,L,2026,3026,3/26/2023,Shipped,1," $1,800.00 ",Credit Card
1027,Mountain Bikes,Mountain Bikes,Enduro,EnduroMaster 1000,EnduroMaster 1000,Endurance-focused mountain bike," $2,300.00 ",30.00,S,S,2027,3027,3/27/2023,Shipped,2," $4,600.00 ",PayPal
1028,mountain bikes,Mountain Bikes,Enduro,EnduroMaster 2000,EnduroMaster 2000,High-performance enduro mountain bike," $2,600.00 ",28.00,L,L,2028,3028,3/28/2023,Processing,1," $2,600.00 ",Credit Card
1041,Mountain Bikes,Mountain Bikes,Fat Bikes,FatTrail 1000,FatTrail 1000,All-terrain fat bike," $1,300.00 ",32.00,m,M,2041,3041,3/11/2023,Shipped,2," $2,600.00 ",Credit Card
